TAG,className,classFaction,classType,mainWeapon,subWeapon,mainStat,subStat,criRate,unionInfo,unionB,unionA,unionS,unionSS,unionSSS,linkIcon,linkName,linkInfo,linkDesc,identityIcon,identityDesc,identityIcon2,identityDesc2,identityIcon3,identityDesc3,upColorR,upColorG,upColorB,downColorR,downColorG,downColorB
21,스트라이커,기사단,해적,너클,보석,STR,DEX,40%,STR 증가,10,20,40,80,100,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",15000023,"스킬을 끊임없이 연계해서, 스트라이커의 능력치를 크게 증가시킵니다. 스킬을 연계로 사용할 때 [뇌전] 버프를 얻습니다.",15120003,연계로 획득한 [뇌전] 버프는 [연쇄 스킬] 로 소모합니다. 뇌전 버프를 소모할 때 스트라이커는 능력치 증가 효과를 얻습니다.,0,0,0,255,255,0,200,255
22,아란,영웅,전사,폴암,무게추,STR,DEX,55%(콤보 10 중첩),타격 시 70% 확률로 HP 회복,2%,4%,6%,8%,10%,20000297,콤보킬 어드밴티지,폴암의 정령 마하의 신비한 힘을 통해 콤보 플레이에 대한 축복을 받는다.,영구적으로 콤보킬 구슬 경험치 획득량 400% / 650% 추가 획득,21001010,[스매쉬 스윙] 스킬을 기본 공격으로 사용합니다.,21110000,스킬로 적을 공격하면 콤보 카운트를 얻습니다. 콤보 카운트를 쌓으면 아란은 강력한 공격을 할 수 있습니다.,21110016,쌓은 콤보 카운트를 소모하여 아드레날린 상태가 됩니다. 이 때 아란의 거의 모든 공격이 강화됩니다.,0,190,255,255,0,0
23,에반,영웅,마법사,완드&스태프,문서,INT,LUK,50%(완드 55%),타격 시 70% 확률로 MP 회복,2%,4%,6%,8%,10%,20010294,룬 퍼시스턴스,룬의 마력을 증폭시켜 해방된 룬 힘의 지속시간을 증가 시킨다.,해방된 룬의 힘 지속시간 30% / 50% 증가,22111012,에반은 드래곤인 미르에게 스킬로 공격 명령을 내릴 수 있습니다. 미르가 공격하는 스킬은 [미르 스킬] 입니다.,22170066,"미르가 스킬을 쓰고 있을 때, 에반이 특정 스킬을 사용하면 [융합 스킬] 이 발동됩니다. 융합 스킬은 적에게 매우 강한 피해를 줍니다.",22111017,"미르가 미르 스킬이나 융합 스킬에 상관없이 스킬 사용중일 때, 에반이 [돌아와!] 스킬을 사용하면 미르는 즉시 공격을 멈추며 버프, 불 장판 등 효과를 발동합니다.",0,190,255,150,0,255
24,루미너스,영웅,마법사,샤이닝로드,오브,INT,LUK,40%,INT 증가,10,20,40,80,100,20040218,퍼미에이트,무엇으로 가려도 스며드는 빛의 힘으로 적의 방어를 일정 부분 무시한다.,적 공격 시 방어율 무시 10% / 15% 증가,20040219,"루미너스는 빛 또는 어둠으로 두 가지 속성의 스킬을 사용합니다. 평소에는 둘 중 한 속성만 강화시킬 수 있지만, [이퀄리브리엄] 상태일 땐 두 가지 속성이 모두 강화됩니다.",27121303,"[이퀄리브리엄] 스킬은 매우 강력하여 재사용 대기시간이 있지만, 루미너스가 [이퀄리브리엄 강화] 상태일 땐 재사용 대기시간 없이 스킬을 사용할 수 있습니다.",0,0,150,255,255,60,0,60
25,메르세데스,영웅,궁수,듀얼보우건,마법 화살,DEX,STR,60%,스킬 재사용 대기시간 감소,2%,3%,4%,5%,6%,20021110,엘프의 축복,"[종족특성 스킬] 고대 엘프의 축복으로 에우렐로 돌아갈 수 있고,  영구적으로 경험치를 추가로 받을 수 있다.",사용 시 에우렐로 귀환\\n[재사용 대기시간 : 600초]\\n[추가효과 : 영구적으로 경험치 10% / 15% 추가 획득],23110004,"연계 스킬로 적을 끊임 없이 공격하면, 메르세데스의 능력치가 크게 증가합니다.",23121002,"강력한 공격과 동시에 적의 능력치를 감소시키고, 충돌을 무시하는 디버프를 걸 수 있습니다.",0,0,255,255,0,0,255,0
26,팬텀,영웅,도적,케인,카드,LUK,DEX,75%(포츈 카드 적용),메소 획득량 증가,1%,2%,3%,4%,5%,20030204,데들리 인스팅트,뛰어난 통찰력을 통해 적의 치명적인 약점을 찾아내는 본성을 가지고 있다.,크리티컬 확률 10% / 15% 증가,24120002,"팬텀이 적을 공격하면, 카드가 나와 적을 추가로 공격합니다.",24121001,"팬텀은 모험가의 스킬을 훔쳐서, 자신이 모험가의 스킬을 사용할 수 있습니다.",0,0,0,80,255,80,0,255
27,은월,영웅,해적,너클,여우 구슬,STR,DEX,40%,크리티컬 데미지 증가,1%,2%,3%,4%,5%,20050286,구사 일생,"사망에 이르는 공격을 당했을 시, 일정 확률로 죽지 않는다.","사망에 이르는 공격을 당할 시, 5% / 10% 확률로 생존",25121005,"정령을 강령시켜, 넓은 범위로 적을 공격합니다.",25101205,"스킬 시전 중에 이동 스킬을 사용해서, 더 빠르게 다음 공격을 이어갈 수 있습니다.",0,0,0,255,0,255,0,0
28,데몬슬레이어,레지스탕스,전사,한손 둔기,포스실드,STR,DEX,40%(데몬 어웨이크닝 미적용),상태이상 내성 증가,1,2,3,4,5,30010112,데몬스 퓨리,"대상이 보스 몬스터 일 경우, 내면에 잠재된 분노를 이끌어 내 더욱 강력한 데미지를 입히고 데몬 슬래시 사용 시 추가 포스를 흡수한다.","보스 몬스터 공격 시 데미지 10% / 15% 증가, 10의 포스 추가 흡수",31110010,[데몬 슬래시] 스킬을 기본 공격으로 사용합니다.,31110009,"마나를 사용하는 직업들과 달리, 데몬 포스[DF] 라는 자원을 사용합니다. 전투 중간 중간에 [데몬 슬래시] 를 써서 데몬 포스를 회복해야 할 겁니다.",400011077,"대부분의 주 공격 스킬에 [크리티컬 확률 증가] 효과가 붙어 있어, 기본 크리티컬 확률이 낮더라도 대부분의 공격을 크리티컬로 입힐 수 있습니다.",120,0,255,60,0,100
29,데몬어벤져,레지스탕스,전사,데스페라도,포스실드,HP,STR,40%,보스 공격 시 데미지 증가,1%,2%,3%,4%,5%,30010241,와일드 레이지,분노로 인해 데미지가 증가한다.,데미지 5% / 10% 증가,30010242,"MP를 사용하지 않으며, HP가 데몬어벤져의 주 스탯이 됩니다. HP 최대치를 넘기더라도 데몬어벤져의 공격력은 계속 증가합니다.",31210005,데몬어벤져는 [익시드] 스킬로 공격할 때 자신의 HP를 소비합니다.,31011001,[익시드] 스킬을 계속 사용하면 [릴리즈 오버로드] 스킬을 사용해서 체력을 다시 회복할 수 있습니다. 이 때 능력치가 증가하는 효과도 함께 받습니다.,120,0,255,0,0,180
30,블래스터,레지스탕스,전사,건틀렛 리볼버,장약,STR,DEX,65%(콤비네이션 트레이닝 II 10 중첩),방어율 무시 증가,1%,2%,3%,4%,5%,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",37120012,블래스터는 스킬 연계와 스킬 딜레이 상쇄 등의 조작으로 능력치를 증가시킬 수 있습니다.,37001002,"강력한 폭발 공격이 블래스터의 매력이지만, 조작 난이도가 매우 높기로 유명합니다.",0,0,255,200,0,255,30,0
31,배틀메이지,레지스탕스,마법사,스태프,마법구슬,INT,LUK,60%(배틀 레이지 적용),INT 증가,10,20,40,80,100,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",32001014,배틀메이지는 흑마술을 사용해 사신과 계약했습니다. 사신은 배틀메이지의 전투를 도와줍니다.,32121010,배틀메이지는 근접 전투에 특화된 마법사입니다. 스태프를 휘둘러 적을 상대합니다.,400021006,배틀메이지는 오라 버프를 사용합니다. 자신과 주변 파티원을 다양한 버프 효과로 지원합니다.,75,0,150,60,0,90
32,와일드헌터,레지스탕스,궁수,석궁,화살촉,DEX,STR,"73%(제이라 적용, 재규어 링크 최대)",공격 시 20% 확률로 데미지 증가,4%,8%,12%,16%,20%,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",33001001,"와일드헌터는 자신의 재규어에 올라타거나, 내린 상태로 재규어에게 명령을 내리면서 싸웁니다. 주로 사냥을 다닐 땐 재규어에 올라타고, 보스 몬스터와 싸울 때 재규어에서 내린 상태로 싸웁니다.",33121114,와일드헌터 자신은 석궁 화살을 빠른 속도로 연사합니다.,0,0,255,255,180,75,255,255
33,제논,레지스탕스,도적&해적,에너지소드,컨트롤러,STR&DEX&LUK,없음,45%,STR/DEX/LUK 증가,5,10,20,40,50,30020233,하이브리드 로직,하이브리드 로직 디자인을 적용하여 모든 능력치가 영구히 증가한다.,모든 능력치 5% / 10% 증가,30020232,"제논은 [서플러스 에너지]를 가집니다. 이 에너지는 일정 시간마다 충전되고, 충전량에 따라 제논의 능력치가 증가합니다. 이 서플러스 에너지를 소모해 강력한 스킬을 사용할 수 있습니다.",30020240,제논은 도적과 해적의 방어구를 모두 착용할 수 있습니다. 장비의 능력치 제약도 모두 무시합니다.,30021236,"제논은 스킬의 모드를 바꿔, 사용 방식이 완전히 다른 스킬로 변환할 수 있습니다.",0,100,255,0,255,255
34,메카닉,레지스탕스,해적,총,매그넘,DEX,STR,70%(탱크 모드),버프 지속시간 증가,5%,10%,15%,20%,25%,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",35111003,강력한 중화기를 탑재한 [메탈아머] 에 탑승합니다.,35101002,많은 양의 투사체를 발사해서 적을 타격합니다. ,35121009,다양한 소환수를 맵에 설치할 수 있습니다. 소환수마다 특성을 고려하여 지형에 맞게 소환수를 배치하세요.,255,120,0,255,0,0
35,카이저,노바,전사,두손검,용의 정수,STR,DEX,65%(리셔플:공격 모드),STR 증가,10,20,40,80,100,60000222,아이언 윌,강철의 의지를 가진 카이저는 추가 HP를 가지고 모프 게이지 단계에 따라 데미지가 증가한다. 링크 스킬로 사용 시 HP 증가만 적용된다.,"HP 5% / 10% 증가, 모프 게이지 단계당 데미지 2% / 3% 증가",61120020,[드래곤 슬래시] 스킬을 기본 공격으로 사용합니다.,61111008,스킬로 적을 공격하면 [모프 게이지] 를 얻습니다. [모프 게이지]를 최대로 얻으면 카이저는 강력한 전사로 변신하여 능력치가 크게 증가합니다.,60001225,"[커맨드] 스킬을 사용하면 적에게 더 많은 데미지를 주면서, 더 많은 [모프 게이지] 를 얻습니다.",255,140,0,255,0,0
36,카인,노바,궁수,드래곤 슈터,웨폰 벨트,DEX,STR,60%,DEX 증가,10,20,40,80,100,60030241,프라이어 프리퍼레이션,적을 확실하게 처리하기 위한 사전 준비를 한다.,"적 8명 처치, 혹은 보스 몬스터에게 5번 공격 적중 시 사전 준비 1번 완료, 사전 준비를 5번 마치면 20초 동안 데미지 9% / 17% 증가\\n[재발동 대기시간 : 40초]",63101001,카인의 스킬로 적을 공격하면 [맬리스 게이지]를 얻습니다. [맬리스 게이지] 를 사용하면 카인의 공격 스킬이 [발현] 스킬로 강화됩니다.,63110011,"[발현] 스킬로 적을 공격하면 [죽음의 축복] 디버프가 걸리는데, 이 때 [처형] 스킬을 사용하면 적은 많은 데미지를 받고, 카인의 능력치가 증가합니다.",63120140,"스킬 아이콘의 [P] 는 발현[Possess], [E] 는 처형[Execute] 를 의미합니다.",255,0,0,180,0,0
37,카데나,노바,도적,체인,무기 전송장치,LUK,STR&DEX,55%(상인단 특제 비약 미적용),LUK 증가,10,20,40,80,100,60020218,인텐시브 인썰트,자신보다 약한 적에겐 더 효과적인 공격을 가한다.,"캐릭터보다 레벨이 낮은 몬스터 공격 시 데미지 3% / 6% 증가, 상태 이상에 걸린 몬스터 공격 시 데미지 3% / 6% 증가",64001001,[체인아츠:스트로크] 스킬을 기본 공격으로 사용합니다.,64120006,"연계 스킬을 사용하면 적에게 더 많은 피해를 줄 수 있고, 카데나의 능력치가 증가합니다.",0,0,255,0,130,220,0,255
38,엔젤릭버스터,노바,해적,소울 슈터,소울링,DEX,STR,"39%(파이널 컨트랙트, 스포트라이트 미적용)",DEX 증가,10,20,40,80,100,60011219,소울 컨트랙트,에스카다와의 계약을 통해 순간적으로 데미지를 극대화한다. ,발동 시 10초 동안 스킬 데미지 60% / 90% 증가\\n링크 스킬로 사용 시 효과가 절반으로 감소\\n[재사용 대기시간 : 60초],60011222,엔젤릭버스터는 [드레스 업] 스킬로 변신해야 스킬을 사용할 수 있습니다.,65120005,"엔젤릭버스터 공격을 하면, [소울 시커] 가 자동으로 나와 지속적인 피해를 입히는 데 많은 도움을 줍니다.",0,0,255,90,255,255,170,255
39,아델,레프,전사,튜너,브레이슬릿,STR,DEX,45%,STR 증가,10,20,40,80,100,80002857,노블레스,강력한 상대로부터 누군가를 지켜야 할 때 더 큰 힘을 발휘하는 숭고함을 가진다.,"보스 몬스터 공격 시 데미지 2% / 4% 증가\\n같은 맵에 있는 자신을 포함한 파티원 1명 당 데미지 1% / 2% 증가, 최대 4% / 8%까지 증가\\n파티를 하지 않았을 때는 자신만 파티한 것으로 취급",151100017,[트리거] 스킬을 적에게 맞춰 [에테르] 게이지를 얻습니다.,151111003,"[에테르] 게이지를 모으면 에테르 소드를 소환할 수 있습니다. 소환된 에테르 소드가 많을수록 아델의 능력치가 증가하며, 적에게 더 많은 피해를 줄 수 있습니다.",151101003,[에테르 결정] 이 생성된 곳으로 돌진할 수 있습니다. 이 때 적을 공격하는 데 성공하면 아델의 능력치가 크게 증가합니다.,200,0,255,0,170,255
40,일리움,레프,마법사,매직 건틀렛,매직윙,INT,LUK,45%,INT 증가,10,20,40,80,100,80000268,전투의 흐름,전투의 흐름이 끊기지 않게 유지한다.\\n일정 시간 내에 특정 거리를 이동 할 때 마다 데미지가 증가한다.,"일정 거리 이동 시 발동되며 최대 4회 중첩가능, 지속시간 10초\\n각 중첩당 데미지 2% / 3% 증가",152101003,"일리움의 공격 스킬이 크리스탈에 닿으면, 크리스탈에서 강력한 폭발 공격이 발생합니다. 크리스탈의 위치를 잘 활용해야 합니다.",152121005,"일리움의 공격이 크리스탈에 닿으면 [크리스탈 게이지] 를 얻는데, 이 게이지를 얻어 강력한 스킬을 사용할 수 있습니다.",152111003,"[크리스탈 게이지]를 최대치까지 모으면, 긴 시간동안 일리움은 공중을 날면서 강력한 공격을 할 수 있습니다.",255,220,0,50,255,255
41,칼리,레프,도적,차크람,헥스시커,LUK,DEX,40%,LUK 증가,10,20,40,80,100,150030241,이네이트 기프트,"사막의 축복을 받아 공격 시 짧은 시간 동안 HP와 MP를 회복한다. 추가로 영구적으로 데미지가 증가한다. 이네이트 기프트는 재사용 대기시간 초기화, 재사용 대기시간 감소, 버프 지속시간 증가의 효과를 받지 않는다.",데미지 3% / 5% 증가\\n공격 시 100% 확률로 5초 동안 매초 최대 HP/MP의 1% / 2% 회복\\n[재발동 대기시간 : 30초],154111000,[아츠] 스킬 또는 [헥스] 스킬 사용 중에 [보이드] 스킬을 사용하면 맵에 [차크리] 를 생성합니다.,154110001,"생성된 차크리 근처에서 [헥스] 스킬을 사용하면, 생성된 차크리가 투사체로 바뀌어 적을 공격합니다.",0,0,0,255,180,255,220,0
42,아크,레프,해적,너클,패스 오브 어비스,STR,DEX,60%(스칼렛 차지드라이브 적용),STR 증가,10,20,40,80,100,80000514,무아,자신을 잊어버릴 정도로 전투에 집중한다.\\n일정 시간 동안 전투 상태가 지속되면 데미지가 증가한다.,"전투 상태가 5초 지속되면 발동되며 최대 5회 중첩가능, 지속시간 5초\\n발동 시 데미지 1% 증가, 중첩당 데미지 1% / 2% 추가 증가",155101006,"아크는 [레프] 상태일 때와, [스펙터] 상태에 따라 사용하는 스킬이 달라집니다. [레프] 상태일 때 사용하는 스킬은 아크의 능력치를 증가시키고, [스펙터] 상태일 때 스킬의 데미지가 더 강합니다.",155001100,"[차지드라이브] 가 적힌 스킬로 적을 공격하고, [스펠 불릿] 스킬로 적을 공격하면 아크의 능력치가 증가합니다.",0,0,255,0,0,150,0,0
43,라라,아니마,마법사,완드,노리개,INT,LUK,45%,INT 증가,10,20,40,80,100,160010001,자연의 벗,주변의 자연과 친구가 되어 도움을 받는다. 신비한 자연의 힘을 견디지 못하는 약한 몬스터에게는 더 큰 효과가 있다.,"데미지 3% / 5% 증가\\n일반 몬스터 20명 처치 시 자연의 도움 발동, 자연의 도움 발동 시 30초 동안 일반 몬스터 공격 시 데미지 7% / 11% 증가\\n[재발동 대기시간 : 30초]",162101000,맵 곳곳에 [용맥] 이 생성됩니다. 이 [용맥] 을 이용해 강력한 스킬을 사용할 수 있습니다.,162120011,"용맥을 사용하는 스킬은 크게 세 종류로 나뉩니다. [분출] 스킬은 강력한 광역 공격, [발현] 스킬은 공중 체공이나 능력치 증가와 같은 유틸 효과, [흡수] 스킬은 라라의 공격을 강화합니다.",0,0,90,255,0,0,255,255
44,호영,아니마,도적,부채,선추,LUK,DEX,55%,LUK 증가,10,20,40,80,100,160000001,자신감,강한 적에게도 위축되지 않는 자신감으로 적의 방어율을 일정 부분 무시하고 체력이 가득 찬 몬스터를 공격할 때 더 큰 피해를 입힌다.,"방어율 무시 5% / 10% 추가, HP가 100%인 몬스터 공격 시 데미지 9% / 14% 증가",164110013,"호영은 [천], [지], [인] 속성의 스킬을 사용해 [부적 도력], [두루마리 도력] 을 얻습니다.",164121007,호영의 공격으로 얻은 [도력] 은 강력한 스킬을 발동시키는 데 사용합니다.,0,0,90,0,255,0,255,255
45,제로,신의 아이,전사,태도&대검,없음,STR,DEX,55%(리졸브 타임 최대),경험치 획득량 증가,4%,6%,8%,10%,12%,100000271,륀느의 축복,"륀느 여신에게 축복을 받아 적에게 받는 데미지가 감소하며, 공격 시 방어율을 일정 부분 무시한다.\\n활성화 된 여신의 눈물을 획득할 때마다 스킬 효과가 강력해진다.","받는 데미지 3% ~ 15% 감소, 공격 시 대상의 방어율 2% ~ 10% 무시",100000282,"제로 캐릭터는 두 명입니다. 알파 상태일 때 베타의 스킬을 사용하면 캐릭터가 베타로 교체되며, 알파는 잠깐동안 전투를 돕다 사라집니다.",400011039,"태그 시스템을 활용해서, 알파/베타 모두가 끊임 없이 공격을 해서 많은 피해를 주세요.",100001283,제로는 적을 매우 긴 시간 동안 행동 불가 상태를 유지시킬 수 있습니다.,255,55,0,255,70,0
46,키네시스,초능력자,마법사,ESP 리미터,체스피스,INT,LUK,45%,INT 증가,10,20,40,80,100,80000188,판단,타고난 판단력으로 적에게 가능한 최고의 치명상을 입힌다.,크리티컬 데미지 2% / 4% 증가,140001289,[싸이킥 어택] 스킬을 기본 공격으로 사용합니다. 키네시스는 MP 대신 [PP] 를 사용하는 직업입니다.,142110000,"키네시스는 적을 들어올리거나 밀치고, 끌어내리는 것처럼 적을 마치 체스 말을 움직이듯이, 위치를 제어하는 염동력으로 전투를 합니다.",400021074,"키네시스의 공격으로 모은 [PP] 는, [얼티메이트] 라는 단어가 붙은 강력한 스킬을 사용할 때 소모됩니다.",180,180,180,80,80,80
47,핑크빈,이벤트,전사,전사 무기,없음,STR,DEX,"30%(기본 수치, 10레벨 당 1% 증가)",없음,-,-,-,-,-,0000252,없음,-,-,0,0,0,0,0,0,0,0,0,0,0,0
48,예티,이벤트,해적,해적 무기,없음,STR,DEX,40%(10레벨 당 1% 증가),없음,-,-,-,-,-,0000252,없음,-,-,0,0,0,0,0,0,0,0,0,0,0,0
